Subject	Bernat_2019:A007	Bhiman_2015:CAP256	Doria-Rose_2015:CAP256	Gidoni_2019:S1	Gidoni_2019:S10	Gidoni_2019:S100	Gidoni_2019:S11	Gidoni_2019:S12	Gidoni_2019:S13	Gidoni_2019:S14	Gidoni_2019:S15	Gidoni_2019:S16	Gidoni_2019:S17	Gidoni_2019:S18	Gidoni_2019:S19	Gidoni_2019:S2	Gidoni_2019:S20	Gidoni_2019:S21	Gidoni_2019:S22	Gidoni_2019:S23	Gidoni_2019:S24	Gidoni_2019:S25	Gidoni_2019:S26	Gidoni_2019:S27	Gidoni_2019:S28	Gidoni_2019:S29	Gidoni_2019:S3	Gidoni_2019:S30	Gidoni_2019:S31	Gidoni_2019:S32	Gidoni_2019:S33	Gidoni_2019:S34	Gidoni_2019:S35	Gidoni_2019:S36	Gidoni_2019:S37	Gidoni_2019:S38	Gidoni_2019:S39	Gidoni_2019:S4	Gidoni_2019:S40	Gidoni_2019:S41	Gidoni_2019:S42	Gidoni_2019:S43	Gidoni_2019:S44	Gidoni_2019:S45	Gidoni_2019:S46	Gidoni_2019:S47	Gidoni_2019:S48	Gidoni_2019:S49	Gidoni_2019:S5	Gidoni_2019:S50	Gidoni_2019:S51	Gidoni_2019:S52	Gidoni_2019:S53	Gidoni_2019:S54	Gidoni_2019:S55	Gidoni_2019:S56	Gidoni_2019:S57	Gidoni_2019:S58	Gidoni_2019:S59	Gidoni_2019:S60	Gidoni_2019:S61	Gidoni_2019:S62	Gidoni_2019:S63	Gidoni_2019:S64	Gidoni_2019:S65	Gidoni_2019:S66	Gidoni_2019:S67	Gidoni_2019:S68	Gidoni_2019:S69	Gidoni_2019:S7	Gidoni_2019:S70	Gidoni_2019:S71	Gidoni_2019:S72	Gidoni_2019:S73	Gidoni_2019:S74	Gidoni_2019:S75	Gidoni_2019:S76	Gidoni_2019:S77	Gidoni_2019:S78	Gidoni_2019:S79	Gidoni_2019:S8	Gidoni_2019:S80	Gidoni_2019:S81	Gidoni_2019:S82	Gidoni_2019:S83	Gidoni_2019:S84	Gidoni_2019:S85	Gidoni_2019:S86	Gidoni_2019:S87	Gidoni_2019:S88	Gidoni_2019:S89	Gidoni_2019:S9	Gidoni_2019:S90	Gidoni_2019:S91	Gidoni_2019:S92	Gidoni_2019:S93	Gidoni_2019:S94	Gidoni_2019:S95	Gidoni_2019:S96	Gidoni_2019:S97	Gidoni_2019:S99	Gupta_2017:Fv_volunteer	Gupta_2017:GMC_volunteer	Gupta_2017:IB_volunteer	Huang_2016:Donor-Z258	Johnson_2018:CAP256	Soto_2016:IAVI84	Soto_2016:N152	Vander_Heiden_2017:AR02	Vander_Heiden_2017:AR03	Vander_Heiden_2017:AR04	Vander_Heiden_2017:AR05	Vander_Heiden_2017:HD07	Vander_Heiden_2017:HD09	Vander_Heiden_2017:HD10	Vander_Heiden_2017:HD13	Vander_Heiden_2017:MK02	Vander_Heiden_2017:MK03	Vander_Heiden_2017:MK04	Vander_Heiden_2017:MK05	Vander_Heiden_2017:MK08	Waltari_2018:AD341	Waltari_2018:AD344	Waltari_2018:BD1	Waltari_2018:BD10	Waltari_2018:BD11	Waltari_2018:BD12	Waltari_2018:BD13	Waltari_2018:BD14	Waltari_2018:BD2	Waltari_2018:BD2-repeat1	Waltari_2018:BD4	Waltari_2018:BD5	Waltari_2018:BD6	Waltari_2018:BD7	Waltari_2018:BD8	Waltari_2018:BD9	Waltari_2018:CB1	Waltari_2018:CB2	Waltari_2018:CB3	Waltari_2018:CB4	Waltari_2018:CB5	Waltari_2018:CB5-repeat1	Waltari_2018:MT1214	Waltari_2018:MT8004	Wu_2011:Donor-45	Wu_2015:Donor-45	Zhou_2013:Donor-IAVI23	Zhou_2013:Donor-IAVI57	Zhou_2013:Donor-IAVI74	Zhou_2013:Donor-NIAID45	Zhou_2013:Donor-RU3	Zhu_2012:Donor-39	Zhu_2013:Donor-C38
Gidoni_2019:S25	197798	44899	147658	133783	197456	178524	182103	190554	196278	166419	186036	156227	172772	162431	178726	144109	171243	152833	199473	194157	185892	456237	165009	189014	145082	196641	133310	177554	175465	180712	167545	204529	160628	205244	178415	170972	172065	146703	175718	177707	174995	171670	159066	171907	160386	166640	171269	152914	197977	183843	190433	186847	161505	197468	176499	196190	185646	175563	187938	181728	176567	169993	176303	188953	182029	164331	187340	173492	173208	159475	169440	162404	185385	175194	178492	185927	191268	184421	170712	174099	179409	172531	163013	177111	187373	198169	170157	196347	182115	174680	193645	183736	172065	181872	119734	185097	165502	195777	135043	163125	150985	338361	355654	356972	203755	33676	59357	36413	226327	198316	223782	225205	238496	256286	264588	244649	198472	239996	202139	253426	214578	295592	303163	287886	263515	259123	264176	260704	301364	289803	305190	255359	261429	302417	265972	297696	248441	295066	312081	255101	223294	305215	222503	293689	315313	24868	94866	64474	48286	92331	35773	69693	45964	141045
Gidoni_2019:S26	177719	35987	129992	123324	181894	170665	171393	177126	181248	160729	175854	147881	165366	157413	164423	129984	159265	148213	186885	179985	173984	165009	410609	173036	138894	184460	121833	166995	163519	171290	161978	194890	155274	195415	165464	157355	163167	133571	164722	169681	168290	161204	151606	163242	150756	156374	158841	143032	183344	168661	173146	171165	147803	180998	168056	182200	174836	165636	177222	169795	163437	155792	164841	175365	172637	152828	173202	163366	159435	148434	157688	151105	170528	163265	162331	173645	176644	170132	157955	161357	168635	158400	148293	161580	171585	180837	159409	180872	164495	160828	182873	168954	163371	172095	115465	171514	155409	183300	132667	156878	143228	302349	319409	318798	214096	23982	60535	29693	205111	178223	200830	200964	215575	233918	238837	224106	182033	224562	185563	231307	195558	258662	268093	253051	244109	234461	236946	238229	269827	266434	278825	226510	229977	273601	241644	270145	228914	272349	285193	234388	204941	285658	210768	257882	280672	24919	96445	61867	48603	87041	35382	69377	47039	127364
Gidoni_2019:S27	216483	48825	166405	141913	211516	189208	192857	206864	210935	175811	196858	164625	182076	172098	190221	153933	182222	160383	215330	209229	198090	189014	173036	550589	151983	210977	142669	188974	189475	191917	174472	217204	170588	220322	190042	182470	182500	159654	188097	186976	182594	182249	165378	181128	170252	175196	182738	161043	211286	198821	208283	203332	172027	214109	184545	211422	198205	189101	201187	195286	190196	182324	187583	203905	192088	175426	201513	183039	186533	169538	180532	170822	199333	186934	194091	198207	206590	198274	182337	185182	192146	182897	174540	189882	202685	214006	179983	209577	194358	183639	207301	198436	181340	191455	125673	198951	177164	207280	140428	171076	157042	389169	408928	413184	235696	42766	67557	39725	248718	214811	246117	250786	264963	284489	293335	269446	215042	262781	218035	282795	232844	334393	344645	323711	293795	287447	295388	289655	340637	323184	342357	288586	296802	344577	299234	335428	279206	319936	347150	276342	238208	332145	235897	332405	361003	26872	109856	71718	54707	101758	39399	78912	51409	160008
Gidoni_2019:S28	155967	34526	116028	109775	159435	149588	147977	153308	158698	143084	155497	133521	146480	139050	145757	114776	140778	133910	160869	154218	151306	145082	138894	151983	342295	159944	109460	144751	143251	148192	140011	169304	133593	167069	145731	137846	141687	116488	143653	149647	146355	142068	135485	140445	135197	139382	140693	128336	158994	145654	150681	148920	132302	158137	148114	157114	150324	143584	152366	146258	142120	136479	145674	152083	153008	133756	150002	142651	137554	130405	138160	134539	147750	143314	141808	151924	155381	149783	141044	144419	146256	141289	131902	142790	151568	156405	140928	158174	144538	144989	158348	147100	144555	149414	106282	150334	137333	162129	119913	140305	130811	256921	269621	268329	162089	27113	49401	29368	182354	160582	174375	176117	191690	201695	207322	191963	162352	190475	163533	199449	174514	228212	234109	219878	210810	206649	209036	210263	232569	229451	240544	204114	200513	233644	210459	231441	201086	233408	240455	203635	180933	239787	181914	227268	243508	21665	74326	51442	39953	75984	29579	55454	38775	109887
Gidoni_2019:S29	222844	45208	163647	147072	222065	204532	202574	216141	221481	188050	210290	173692	196510	184043	199329	155278	190593	173798	228040	219679	209576	196641	184460	210977	159944	576934	146323	200587	197023	206490	187426	236205	181827	236439	199047	190729	193271	162033	198086	201546	196404	191951	177522	190942	178194	185861	190925	168689	222857	205157	213458	208197	177993	223801	197760	220671	209349	199223	215179	204980	197152	186019	198893	212732	208691	183442	209847	191977	193089	177849	186856	178342	206648	194560	198142	210070	215527	206622	189069	194965	204365	191219	177038	195762	211390	224337	189178	219661	198250	194398	223765	205087	194105	205523	132116	206611	184953	224548	150253	184962	167983	408749	434278	435481	276237	33699	70817	34507	259164	225312	253078	258019	276140	300804	308238	284230	228228	281262	229442	297474	243948	343176	359057	336562	314094	307764	310547	309664	358194	351604	371217	297142	301168	362472	315552	356331	298527	355553	376233	302642	257970	368399	259676	344957	375714	27949	114853	72611	55754	103460	39460	82089	53031	158889
Gidoni_2019:S3	158080	44255	137961	131458	149001	134355	137438	146305	147190	123795	137790	118016	126595	122930	135296	137634	130561	114885	149132	145122	139396	133310	121833	142669	109460	146323	312654	135421	134930	135271	121944	146903	122293	149076	135324	133395	130647	140442	133765	132602	125606	130518	119092	127105	126707	124733	130500	117533	146251	141077	145834	143120	128654	150734	128544	147974	143633	138187	142276	139975	137561	132112	133340	146353	133604	128252	143466	130732	132875	126155	130835	124491	139790	138142	138960	141731	146232	142740	130823	132964	135425	133301	129819	135469	145516	148752	131791	145986	139739	132904	145181	139870	131051	133310	93934	145931	128806	142167	100219	118839	113783	250272	260940	260641	142371	27160	53281	31081	180995	160054	182399	186232	189501	197832	201315	184699	160327	180060	155257	194460	167252	228780	232679	220796	211395	202025	208173	200569	231414	221552	229006	204758	213515	231012	212498	230143	202785	211782	226291	192561	169810	216269	164684	228999	243317	24603	78956	61113	45546	89747	34727	66372	42774	134031
Gidoni_2019:S30	197830	41693	145657	134306	197692	182109	185209	196707	199498	169620	185765	157415	175014	166410	179995	141284	172238	155992	202576	197626	188731	177554	166995	188974	144751	200587	135421	475258	178890	184394	167028	206489	166190	211504	178964	172510	175033	148334	178486	181933	174458	174248	159345	172315	159954	168404	173019	153917	198732	186275	192958	187845	164153	199533	176454	197646	189038	180943	191411	185466	182799	170651	177810	194657	184058	166792	192872	173449	176923	161744	172192	161655	185640	177339	182663	187854	193662	186714	170277	174138	183845	172920	162142	177211	187358	200629	172238	196389	179505	173575	197394	186240	174879	182648	120302	188849	167568	196278	134474	164416	150991	341303	363815	364166	226953	31082	63066	33275	223920	195502	222127	224081	235463	257177	261919	244634	197406	241566	202152	253856	211602	290739	301706	285529	261969	256983	262165	258479	299461	291205	307251	250138	257920	304769	265930	298622	249511	294988	316203	254958	220979	308426	223268	289052	312443	25996	102300	66254	51202	93900	37401	76639	47985	143502
Gidoni_2019:S31	195377	43782	146847	135177	196748	179575	180689	192801	195245	165988	181747	155321	171033	164059	178409	143244	172185	152656	200337	196024	185680	175465	163519	189475	143251	197023	134930	178890	436151	181466	163838	201257	163289	204209	177622	172430	173387	150348	177807	176648	171591	172222	155589	169824	157911	165584	172685	152741	197304	186331	193025	187585	161394	197956	173737	197218	186237	176791	189269	184844	180050	171915	176795	189862	181677	166517	188518	171234	175869	161616	169193	161302	185216	173860	180325	186451	192680	184574	168148	173768	182204	173546	163078	177473	186809	199040	169886	195115	180953	172570	195108	184851	171435	179966	118375	184624	166720	193064	133205	161796	149733	328999	346094	347695	207405	33168	61532	34221	219240	193460	219705	222106	231369	251515	256229	237915	193095	233006	198939	247869	207975	284190	293380	279266	252446	249155	253382	249820	291551	281198	295055	245029	255778	293889	258780	289526	240117	286095	307242	249842	217867	295279	217679	283441	305299	25164	97097	65864	49322	93028	36299	72491	46942	140850
Gidoni_2019:S32	200237	41471	147621	137257	201781	186573	186735	197777	200351	173107	190517	161638	180596	170475	182208	143538	175693	159714	207802	202302	192314	180712	171290	191917	148192	206490	135271	184394	181466	478227	172147	212458	169851	213124	183067	176397	178168	150249	182631	184167	180511	176924	163064	176528	161910	171228	176603	156202	204038	189228	195473	191608	164852	203448	181342	201467	193164	182350	197582	189436	182450	173999	181436	195291	190139	170522	193537	176706	179172	166145	173633	164164	189676	178571	183438	192265	197419	188239	173098	177692	188105	175923	163725	180983	190678	205029	173904	202031	182827	177197	203035	188355	178147	188231	122289	188807	170862	201587	138940	169695	153722	347670	368123	369231	236084	28577	64742	31826	227125	198523	225018	227300	239535	261491	265888	248587	202041	246781	205279	259460	215932	293736	306844	291097	267519	262782	266076	266374	306951	298973	315055	253497	262635	310217	271077	304671	252979	306850	326215	263138	228768	317821	230243	294272	319598	26509	106938	66883	50913	94859	38161	75863	50138	142042
Gidoni_2019:S33	182918	36861	134953	122687	184580	171564	173106	177882	182686	163090	179058	148587	167185	158366	165347	130249	160084	150003	188315	180374	174222	167545	161978	174472	140011	187426	121944	167028	163838	172147	438697	199313	155512	197687	164934	157051	163608	131560	164424	171800	174736	161514	153859	165335	152755	158855	158688	142642	187011	169081	172612	170220	146960	182709	171357	183299	176237	167727	178094	169585	163323	155393	167021	175172	175648	153341	172429	164275	158170	148875	159070	152899	172073	164343	162955	175858	177620	173357	161075	163474	168635	159689	147791	161619	174463	182084	159478	182270	167107	163820	185524	168865	164467	175287	117462	173196	156234	187108	135893	159076	144334	318268	336721	336503	225693	25232	61298	30234	212370	184121	206809	206923	225200	242419	249233	232715	189881	235681	189360	240181	203191	269683	280689	263020	260081	247960	250004	250958	283098	281469	295361	238057	237727	287246	254302	284259	241836	285666	295399	243067	210907	301175	218723	269620	295770	25574	100758	62370	49369	88391	35591	70588	48025	131995
Gidoni_2019:S34	235261	45173	167845	147657	230634	214267	209585	222113	230564	200909	227068	181337	207073	194286	205688	154801	197717	183777	237339	225859	217846	204529	194890	217204	169304	236205	146903	206489	201257	212458	199313	658667	188265	251820	205461	192829	201105	159988	202424	213222	209389	198999	187270	196981	189309	195044	195850	174064	230796	208262	216902	211533	179896	229139	208606	226435	216285	206904	222687	209176	199997	187576	205429	218858	220228	185296	214756	199965	194486	179068	191031	183602	208740	201380	200759	218994	222736	211363	196039	204204	208785	196614	180486	199900	218985	228751	197193	226820	203196	204855	234565	208977	205215	214548	138880	214120	190627	240320	162058	197921	178537	452295	483148	482324	307470	35698	74712	37683	282295	241374	267596	273824	303954	329513	340108	307932	247016	308500	245979	323733	267994	378256	395895	363188	354603	344083	345947	346268	395950	392536	415535	328822	323111	401136	348501	395297	336478	399880	416684	334667	281524	418131	286122	379389	417637	27770	120623	73546	58105	103760	39067	82452	54563	162095
Gidoni_2019:S35	173329	34921	127809	123678	178219	166790	168468	177422	179586	158448	169055	145376	160339	154060	162679	128915	158078	144504	183511	179377	173857	160628	155274	170588	133593	181827	122293	166190	163289	169851	155512	188265	398425	191207	162326	157451	161907	135213	165058	166073	161992	159243	145575	158435	144998	153669	157766	140263	181844	168211	176572	169830	149928	180114	161962	180184	176731	163973	175142	170101	165966	155508	161959	175638	169576	153650	173922	157980	160185	148596	157371	148298	169339	161441	164168	171682	175972	168771	153907	158863	168913	156795	147335	160446	168398	181216	158192	178512	162076	156981	180714	169301	160672	167049	111412	169235	152985	178141	126618	151354	139019	292501	309697	313868	208050	23648	60546	26829	195261	171813	195181	194921	204737	225872	227429	214741	175020	214550	180638	222945	185935	250500	257123	245098	228109	221635	226957	223751	257615	253084	265314	214257	224201	262854	230854	258191	215197	259226	275635	225064	195619	273640	202676	246439	267787	25113	98798	62456	49784	85882	37185	71123	46023	126805
Gidoni_2019:S36	233862	44356	165160	147096	231226	213428	214297	227724	233594	198742	221746	179710	208219	192579	207413	155594	196447	182143	238226	226556	218686	205244	195415	220322	167069	236439	149076	211504	204209	213124	197687	251820	191207	654282	206494	194781	201356	162946	204576	214323	208836	199376	186497	199046	184306	199169	197586	176360	234389	212052	222649	215827	186946	232541	208099	229788	218296	209654	223531	210504	206872	190597	208331	222498	219210	189118	219343	197791	198800	183118	196615	187160	213840	203916	209176	219479	223896	217421	195546	204429	213731	197470	180155	200380	219717	233837	197100	229100	206357	203877	235093	211563	207205	217497	136808	216826	191934	241105	158428	195011	175665	443517	479523	477614	303175	38173	73422	33667	276789	240311	265511	269966	295742	321424	333569	304445	241993	302523	243579	316938	259397	369580	388732	359445	341933	328872	334448	333814	385002	382925	405566	318096	316317	390831	336550	385791	320107	391602	412412	329617	276380	409036	280670	370424	407225	28295	124555	73236	58157	104316	40331	85897	55044	162541
Gidoni_2019:S37	194795	43876	143849	135368	199230	181408	181107	193475	198594	169845	188780	157738	175074	165658	180971	144138	173471	155686	202986	196102	188369	178415	165464	190042	145731	199047	135324	178964	177622	183067	164934	205461	162326	206494	445037	173331	173473	148303	176713	178779	173599	173154	160605	171812	161360	167390	175017	156417	199474	186084	194376	189171	163702	199404	176464	197968	185766	176937	190037	183884	177412	172340	178389	193076	184740	165851	190707	175042	174448	161541	171340	163664	184982	175324	180811	188146	194701	184759	170132	176717	181212	175331	164363	179781	188709	200646	172323	198407	181594	177018	195549	185396	174185	182263	120490	186229	166311	197915	136309	164714	153226	336150	352907	354485	199865	33308	57081	35266	227081	199642	223080	226035	239139	257647	264087	243885	199303	237045	202487	253177	213421	295264	304610	288431	259459	258344	262564	261315	301190	288038	304512	254250	259927	300803	265332	297694	248540	298153	317322	260168	228099	306310	225124	294843	314072	24373	91034	61131	45763	90403	34440	67585	45069	137471
Gidoni_2019:S38	189903	43745	143760	133902	191035	172670	175470	186221	189587	159526	177185	151617	165191	156857	172873	141711	166275	147806	193572	190938	180868	170972	157355	182470	137846	190729	133395	172510	172430	176397	157051	192829	157451	194781	173331	421657	167582	147952	172012	169564	164268	167841	152049	165762	153205	158727	168529	149206	191514	181116	187740	182914	158615	193279	167519	191110	180041	170561	183270	178518	174461	169754	170719	184962	175004	162556	184285	167820	170820	158907	165974	157145	180402	168823	175559	180523	186882	178879	163457	168056	176815	168623	160113	174240	181497	194031	164951	190190	176369	167373	187756	180180	165584	172964	115535	178991	160489	185647	128386	155414	144587	317957	333396	335341	188280	30482	57062	33748	212895	187951	215164	216266	223380	240779	246262	228621	187783	223173	192717	238765	201678	276917	284332	274333	240550	238747	244741	241497	282207	267744	282474	236981	250331	281750	248594	277831	228895	275423	294049	241722	211899	281820	208138	275496	293899	24778	92775	63101	46240	91025	36226	69656	45689	137186
Gidoni_2019:S39	189411	41201	141148	132151	191752	176923	177186	187932	190485	164499	180349	153584	169802	162075	173725	137937	167795	153384	195310	189855	181562	172065	163167	182500	141687	193271	130647	175033	173387	178168	163608	201105	161907	201356	173473	167582	434811	143890	174205	175157	170228	169915	155338	166684	155949	163406	168077	149671	193253	178546	185160	181678	157081	192321	171952	190743	182481	173450	186061	179859	174120	165990	173571	184979	179545	161737	183086	168017	169582	157494	165557	157737	179282	170768	173387	184005	188613	178583	164641	170468	177720	168229	158005	171621	181227	192386	166425	189853	174831	170334	192286	179918	169946	177222	117436	179961	162797	191349	133451	160721	148094	321789	340437	339895	210574	29712	61248	33423	215977	188854	212661	214448	226653	246488	250612	233923	190715	231176	196580	242514	205110	276005	286574	272021	251241	246000	249905	248055	285603	277752	291758	240372	246260	288428	254172	284492	237984	284220	301452	245656	213856	294543	216279	276107	298052	24684	96048	64388	49411	90802	35584	70937	46611	135688
Gidoni_2019:S4	167454	42882	142464	139022	164335	145052	150446	161514	162343	132404	146753	128365	137764	133066	148631	149273	143810	123880	166445	165604	154154	146703	133571	159654	116488	162033	140442	148334	150348	150249	131560	159988	135213	162946	148303	147952	143890	345944	149174	143233	136737	143324	127185	141608	131555	133187	144914	127579	162528	159829	163020	161680	137809	168095	140158	167011	157263	147588	157317	157897	152413	148333	145327	160771	144834	142903	160330	144247	151281	138948	143545	134092	157457	147554	154653	154079	161811	155275	142218	143228	151917	145198	142403	151329	158015	168645	141740	162981	153381	141092	159089	158522	138851	146800	98739	157203	140048	152448	106450	128754	121215	270456	280720	285482	165483	26811	59363	30543	188077	165161	194179	196579	194939	210719	210773	198411	165026	190544	165520	205162	172974	239671	246068	239230	216640	207237	212695	206093	244767	230302	238647	207983	228619	248089	221276	244389	207958	226122	248503	204989	180706	231584	175941	239501	256135	25583	92150	67015	48961	93105	37948	72809	46458	138234
Gidoni_2019:S40	195174	42798	145837	135756	196794	178865	181675	193204	194972	165926	181859	155807	171592	164810	177152	141772	171346	154037	200104	196359	185532	175718	164722	188097	143653	198086	133765	178486	177807	182631	164424	202424	165058	204576	176713	172012	174205	149174	443762	176940	172088	173707	156542	171117	157335	164375	172784	153213	198583	184647	192028	186962	162320	198820	175010	197615	187455	176616	189523	185311	180896	172463	176348	189988	181880	166826	188344	171600	175422	162198	170172	161094	185606	174631	178790	187209	193825	183949	167556	173336	182400	172559	162294	177452	185493	199088	169888	195505	180862	171703	195271	185116	172534	179715	117609	184750	165692	193884	133223	161351	150353	328009	347139	348633	212317	32316	62336	32569	218831	191389	219095	219932	228616	250319	254235	237237	191746	234263	199871	246518	207317	283142	290898	278074	251617	247321	250689	248819	290284	279291	294047	241075	254463	292754	256934	288295	237433	287116	307373	248752	215661	296256	217545	281038	302092	25653	99985	66567	50046	93093	37259	73770	47678	140378
Gidoni_2019:S41	197931	39935	141571	131636	197758	184451	185081	193981	201059	174041	190825	159719	178386	168698	178285	138506	171147	160428	202680	194859	188703	177707	169681	186976	149647	201546	132602	181933	176648	184167	171800	213222	166073	214323	178779	169564	175157	143233	176940	476113	180084	173313	163840	173613	161646	171760	171574	155059	198978	181629	189759	185144	163267	197987	180774	196639	188572	180543	191295	182607	178359	167203	179684	192185	188786	163948	189401	173929	171797	159063	171475	163286	182919	178300	178614	188929	192489	187146	170657	176613	182664	171813	159762	174325	187938	196612	172727	195834	177498	176014	198909	182055	178920	185054	123154	187969	166815	202289	141600	170013	155934	343593	367818	364988	232641	28224	62476	32004	228065	198701	220776	223450	241455	260008	266770	246959	203603	246743	204855	257017	217234	295365	304269	287075	273007	266626	268266	269333	304450	302763	318080	256335	255882	308421	271007	304300	259283	310165	323175	266368	229152	323642	234401	292629	318790	25531	100177	63607	50339	91898	35834	73165	47565	137882
Gidoni_2019:S42	188291	37330	134549	126496	192873	180681	180556	185727	192370	169240	187299	155581	174899	164399	173531	133588	167025	156165	197717	188523	182760	174995	168290	182594	146355	196404	125606	174458	171591	180511	174736	209389	161992	208836	173599	164268	170228	136737	172088	180084	465381	168701	161224	172623	157577	167133	166704	149525	196714	177162	182216	178330	154905	190780	179520	192248	182350	173523	186809	176457	170756	161960	175044	182441	185796	159570	181034	171068	165810	154415	165798	159222	180208	171049	171486	183629	186566	182315	167566	171928	177367	166836	154621	168771	181569	191397	165678	191093	174022	172045	194673	176528	173078	184867	121089	179902	162982	197187	141398	167655	151861	334307	355243	354863	233304	27719	60260	29451	221082	193513	214850	215654	236143	253033	260832	242745	197613	245346	198244	250062	210523	283238	295800	277895	271090	259943	262131	264896	297208	296441	311765	250160	247908	301124	264695	297741	251914	303780	316750	260025	224432	319895	231733	282926	310447	24753	98822	60745	47837	87591	34666	68548	46706	130747
Gidoni_2019:S43	188030	41524	140665	131120	191871	176107	176680	186765	190928	165041	180179	153574	169088	161556	173531	137937	167909	151847	194230	190256	181932	171670	161204	182249	142068	191951	130518	174248	172222	176924	161514	198999	159243	199376	173154	167841	169915	143324	173707	173313	168701	432959	154794	166305	155662	160980	167971	149712	192446	178386	186201	181373	158234	192141	171626	191040	181140	171544	183507	178804	174187	167311	172509	184666	178533	161880	183975	167982	168781	157251	165731	157015	179050	170208	173026	182221	187810	179270	164115	169982	176686	167879	158347	172953	180753	192004	166968	191322	174715	168965	190024	179772	168576	175623	117095	179180	162305	190051	131800	159510	148813	319480	337393	337775	204138	31756	59630	34068	214427	188667	213150	213244	225478	244338	249595	232045	188023	228317	195392	240776	204190	275886	284850	271352	249442	243593	248063	246540	283465	274546	288802	238700	246461	285954	251887	281428	235127	280919	298456	243459	212500	290365	214210	275664	295979	24661	94376	62307	47592	89682	35513	69486	45985	134239
Gidoni_2019:S44	174418	38257	127134	118648	174798	164557	161595	168509	174852	154651	171913	144005	160541	150245	158766	125121	152527	144437	177899	170306	166719	159066	151606	165378	135485	177522	119092	159345	155589	163064	153859	187270	145575	186497	160605	152049	155338	127185	156542	163840	161224	154794	389770	155281	146969	153875	153442	139279	175827	160371	166480	162895	144404	174791	161992	172261	165412	158514	169454	160466	154686	148655	160289	166461	169348	146227	164628	156021	151372	142871	150569	146876	161766	156635	155507	167173	170272	163351	153777	157669	161428	154205	142528	155390	166726	173004	153384	173281	158675	159152	175975	160312	158575	165773	114260	164976	149944	181159	128989	153700	141396	294958	309311	308549	189179	26904	53122	29103	203635	180758	195569	197524	214866	227329	234637	216424	182611	215947	181544	225533	194782	257234	266859	249845	239722	235814	237942	239042	266034	263097	275877	228266	226272	266519	239332	264382	228488	268077	276180	232318	204757	275767	205925	258011	276346	23070	83335	55330	43076	82106	31458	60525	41412	121385
Gidoni_2019:S45	186341	39732	137620	128895	190421	174310	177891	184747	189340	162900	178657	151491	168842	158714	170617	137172	165317	150260	193764	188169	180155	171907	163242	181128	140445	190942	127105	172315	169824	176528	165335	196981	158435	199046	171812	165762	166684	141608	171117	173613	172623	166305	155281	424113	153217	161319	166529	147326	192037	178347	183916	179992	155185	190545	172761	191514	180445	169723	182689	176460	171184	165332	171142	182765	177308	160833	181885	169665	167896	155445	166295	157492	180110	168959	172214	178921	184290	179492	164999	166430	175425	165774	156015	170020	179271	191561	164554	189172	174001	165915	188184	177088	166437	177573	117450	177698	161198	186836	132982	158545	146229	315525	331779	333038	209539	27789	59222	31625	211255	184540	211018	210712	221687	240593	245286	231813	186162	228765	190551	238152	199803	270561	279895	267931	247962	240594	244924	244194	280045	272119	285739	235207	241877	283582	249071	279164	232033	279007	294938	241333	212435	291914	215215	269412	291333	25018	98520	62441	47470	89492	36396	70831	46736	133808
Gidoni_2019:S46	188503	48363	151960	125593	179481	164534	162749	172079	176476	154468	174515	142846	157731	150412	162216	132464	155840	141933	180320	173012	168017	160386	150756	170252	135197	178194	126707	159954	157911	161910	152755	189309	144998	184306	161360	153205	155949	131555	157335	161646	157577	155662	146969	153217	427426	151704	153566	139982	175510	163791	169408	165141	146616	179016	159703	173243	169303	163281	169932	163493	156410	151851	160138	170854	166586	147441	166631	157182	152220	144541	150244	147438	164235	162625	157986	169530	173348	166610	158102	159527	159947	156813	148574	158004	174626	175165	157579	175025	162996	160546	177527	163195	158022	162551	114778	170816	152019	177376	128023	150134	140542	323022	336452	336692	192459	32666	56544	40025	219626	188252	210993	215897	231624	243782	253261	231085	192627	228823	188362	245563	208368	286209	291529	269909	261480	256393	261144	256265	291419	283061	296224	253129	254165	291036	262560	287668	250859	275847	286322	237664	207508	283488	206530	284942	305814	24690	87957	61139	46266	91798	33500	65578	44650	143551
Gidoni_2019:S47	187169	41630	135964	123825	184690	173229	172107	180326	185092	161332	177456	149631	167115	157250	167636	129688	160932	149339	186600	178641	175141	166640	156374	175196	139382	185861	124733	168404	165584	171228	158855	195044	153669	199169	167390	158727	163406	133187	164375	171760	167133	160980	153875	161319	151704	436140	162560	146000	187286	169071	178129	172668	155330	183966	168020	182313	174907	166956	178436	168755	167128	157123	168358	177632	177172	153525	175682	161154	160205	150623	162082	155618	170836	165856	167986	176814	181407	175815	158750	165818	169873	162797	149518	163383	175165	183679	162196	183962	167967	167790	186314	168038	169344	174220	117014	174919	156196	192016	132098	158249	148088	318504	338611	335805	198079	32412	54375	31161	215381	192521	207994	211091	228238	240770	250789	230455	192421	230394	192322	238670	205541	277994	287655	268511	252315	249616	253504	252746	283897	280997	295987	245642	241918	284548	254097	282123	240778	286802	297804	249092	214840	294616	217200	277717	298713	23736	87797	57003	43844	85369	32934	64131	43308	129210
